"Age" "mx" "qx" "px" "lx" "dx" "Lx" "Tx" "ex"
19 0.000159 0.00015898736050484 0.999841012639495 99572.4608006053 15.8307627216599 99564.5454192445 6670490.00052659 66.9913141333757
20 0.000157 0.000156987676467397 0.999843012323533 99556.6300378837 15.6291640265717 99548.8154558704 6570925.45510734 66.0018870928732
21 0.000172 0.000171985209272003 0.999828014790728 99541.0008738571 17.1195798664349 99532.4410839239 6471376.63965147 65.0121716964881
22 0.000156 0.00015598783294903 0.999844012167051 99523.8812939907 15.5245145697261 99516.1190367058 6371844.19856755 64.023268744366
23 0.000187 0.000186982517134648 0.999813017482865 99508.356779421 18.6063230265487 99499.0536179077 6272328.07953084 63.0331791473016
24 0.000123 0.000122992435965188 0.999877007564035 99489.7504563944 12.2364867622006 99483.6322130133 6172829.02591294 62.0448739452657
25 0.000155 0.000154987988430897 0.999845012011569 99477.5139696322 15.4178197842597 99469.8050597401 6073345.39369992 61.0524444303458
26 0.000151 0.000150988600360673 0.999849011399639 99462.0961498479 15.0176426866042 99454.5873285046 5973875.58864018 60.0618307866752
27 0.000167 0.000166986056664269 0.999833013943336 99447.0785071613 16.6062754866928 99438.775369418 5874421.00131168 59.0708253022099
28 0.000174 0.000173984863316891 0.999826015136683 99430.4722316746 17.2993971207619 99421.8225331142 5774982.22594226 58.0806074468444
29 0.000175 0.000174984688839727 0.99982501531116 99413.1728345539 17.3957831150244 99404.4749429964 5675560.40340914 57.0906273442712
30 0.000212 0.00021197753038178 0.999788022469618 99395.7770514389 21.069671349742 99385.242215764 5576155.92846615 56.1005315706763
31 0.000236 0.000235972155285676 0.999764027844714 99374.7073800891 23.449663881363 99362.9825481484 5476770.68625038 55.1123201329569
32 0.000231 0.000230973322581242 0.999769026677419 99351.2577162078 22.9474900973378 99339.7839711591 5377407.70370224 54.1252101615316
33 0.000291 0.000290957665659647 0.99970904233434 99328.3102261104 28.9003332773063 99313.8600594718 5278067.91973108 53.1375990159916
34 0.000292 0.000291957374223363 0.999708042625777 99299.4098928331 28.991194974241 99284.914295346 5178754.05967161 52.1529187863319
35 0.000296 0.000295956198482625 0.999704043801517 99270.4186978589 29.3796957395968 99255.7288499891 5079469.14537626 51.1680036410063
36 0.000333 0.000332944564729972 0.99966705543527 99241.0390021193 33.0417645339108 99224.5181198523 4980213.41652627 50.1830035900765
37 0.00039 0.000389923964826859 0.999610076035173 99207.9972375853 38.6835756254113 99188.6554497726 4880988.89840642 49.19955078538
38 0.00047 0.000469889575949652 0.99953011042405 99169.3136619599 46.5986267438364 99146.014348588 4781800.24295665 48.2185473145095
39 0.000461 0.000460893763987401 0.999539106236013 99122.7150352161 45.6850412292313 99099.8725146015 4682654.22860806 47.2409803034997
40 0.000565 0.000564840432577797 0.999435159567422 99077.0299939869 55.9627124803269 99049.0486377467 4583554.35609346 46.2625328632846
41 0.000601 0.000600819453754147 0.999399180546246 99021.0672815065 59.4937835542274 98991.3203897294 4484505.30745571 45.2883960006887
